"","Stn.Code","Sampling.Date","State","City.Town.Village.Area","Location.of.Monitoring.Station","Agency","Type.of.Location","SO2","NO2","RSPM.PM10","PM.2.5","season","quarter","Type.of.Location.Binary.form"
"1",68,"02-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,24,143,102,"winter",1,0
"2",68,"06-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,23,133,96,"winter",1,0
"3",68,"09-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,25,125,116,"winter",1,0
"4",68,"13-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,137,107,"winter",1,0
"5",68,"16-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,26,186,118,"winter",1,0
"6",68,"20-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,23,178,153,"winter",1,0
"7",68,"23-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,171,146,"winter",1,0
"8",68,"27-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,161,137,"winter",1,0
"9",68,"30-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,24,158,127,"winter",1,0
"10",68,"03-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,24,207,152,"winter",1,0
"11",68,"06-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,208,125,"winter",1,0
"12",68,"10-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,25,192,96,"winter",1,0
"13",68,"13-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,186,110,"winter",1,0
"14",68,"16-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,180,118,"winter",1,0
"15",68,"18-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,24,186,99,"winter",1,0
"16",68,"25-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,26,171,119,"winter",1,0
"17",68,"28-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",13,25,169,108,"winter",1,0
"18",68,"01-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,24,68,47,"rainy",3,0
"19",68,"04-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,79,52,"rainy",3,0
"20",68,"08-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,24,76,57,"rainy",3,0
"21",68,"11-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,22,76,49,"rainy",3,0
"22",68,"15-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,22,36,17,"rainy",3,0
"23",68,"18-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,83,61,"rainy",3,0
"24",68,"22-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,76,43,"rainy",3,0
"25",68,"25-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,94,69,"rainy",3,0
"26",68,"30-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,25,89,63,"rainy",3,0
"27",68,"01-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,70,57,"winter",3,0
"28",68,"06-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,24,90,78,"winter",3,0
"29",68,"09-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,112,92,"winter",3,0
"30",68,"13-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,95,73,"winter",3,0
"31",68,"16-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,27,103,87,"winter",3,0
"32",68,"20-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,25,95,69,"winter",3,0
"33",68,"23-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,90,65,"winter",3,0
"34",68,"27-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,22,99,74,"winter",3,0
"35",68,"30-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,106,86,"winter",3,0
"36",68,"03-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,101,68,"winter",3,0
"37",68,"06-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,99,56,"winter",3,0
"38",68,"10-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,151,81,"winter",3,0
"39",68,"13-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,153,79,"winter",3,0
"40",68,"17-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,97,49,"winter",3,0
"41",68,"20-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,136,72,"winter",3,0
"42",68,"24-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,132,70,"winter",3,0
"43",68,"27-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,26,145,76,"winter",3,0
"44",68,"01-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,25,106,61,"winter",4,0
"45",68,"04-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,151,87,"winter",4,0
"46",68,"08-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,27,137,79,"winter",4,0
"47",68,"11-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,25,167,83,"winter",4,0
"48",68,"15-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,198,98,"winter",4,0
"49",68,"18-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,23,177,92,"winter",4,0
"50",68,"22-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,202,104,"winter",4,0
"51",68,"25-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,25,171,95,"winter",4,0
"52",68,"29-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,27,171,88,"winter",4,0
"53",70,"01-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",7,20,52,36,"winter",1,0
"54",70,"05-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,23,124,57,"winter",1,0
"55",70,"08-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,27,150,104,"winter",1,0
"56",70,"12-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",15,30,187,121,"winter",1,0
"57",70,"15-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",18,23,176,137,"winter",1,0
"58",70,"19-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,30,132,98,"winter",1,0
"59",70,"22-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,26,155,86,"winter",1,0
"60",70,"27-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,162,116,"winter",1,0
"61",70,"29-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,22,104,90,"winter",1,0
"62",70,"02-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,25,132,86,"winter",1,0
"63",70,"05-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,28,148,113,"winter",1,0
"64",70,"09-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,22,103,74,"winter",1,0
"65",70,"12-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,106,85,"winter",1,0
"66",70,"16-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,27,89,64,"winter",1,0
"67",70,"19-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,107,72,"winter",1,0
"68",70,"23-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,101,77,"winter",1,0
"69",70,"26-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,27,87,70,"winter",1,0
"70",70,"02-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,124,65,"summer",1,0
"71",70,"05-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,22,92,68,"summer",1,0
"72",70,"09-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,26,93,62,"summer",1,0
"73",70,"12-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,28,126,78,"summer",1,0
"74",70,"16-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,30,101,68,"summer",1,0
"75",70,"19-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,150,87,"summer",1,0
"76",70,"23-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,24,127,96,"summer",1,0
"77",70,"26-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,27,127,81,"summer",1,0
"78",70,"30-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,23,135,63,"summer",1,0
"79",70,"02-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,28,155,80,"summer",2,0
"80",70,"06-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,76,54,"summer",2,0
"81",70,"09-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,28,71,45,"summer",2,0
"82",70,"13-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,23,97,56,"summer",2,0
"83",70,"16-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,24,91,53,"summer",2,0
"84",70,"20-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,89,46,"summer",2,0
"85",70,"23-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,21,91,43,"summer",2,0
"86",70,"27-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,28,77,40,"summer",2,0
"87",70,"30-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,26,91,48,"summer",2,0
"88",70,"04-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,23,95,49,"summer",2,0
"89",70,"07-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,25,81,36,"summer",2,0
"90",70,"11-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,28,102,54,"summer",2,0
"91",70,"14-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,98,51,"summer",2,0
"92",70,"18-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,97,42,"summer",2,0
"93",70,"21-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,28,91,51,"summer",2,0
"94",70,"25-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,27,107,67,"summer",2,0
"95",70,"28-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,23,98,55,"summer",2,0
"96",70,"01-06-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,27,104,63,"summer",2,0
"97",70,"04-06-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,26,95,44,"summer",2,0
"98",70,"08-06-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,101,62,"summer",2,0
"99",70,"11-06-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,25,99,58,"summer",2,0
"100",70,"15-06-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,21,61,36,"summer",2,0
"101",70,"18-06-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,19,55,31,"summer",2,0
"102",70,"22-06-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,22,60,34,"summer",2,0
"103",70,"25-06-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,90,46,"summer",2,0
"104",70,"29-06-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,27,97,56,"summer",2,0
"105",70,"02-07-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,102,51,"rainy",2,0
"106",70,"06-07-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,110,66,"rainy",2,0
"107",70,"09-07-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,20,55,33,"rainy",2,0
"108",70,"13-07-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,90,60,"rainy",2,0
"109",70,"16-07-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,21,87,57,"rainy",2,0
"110",70,"20-07-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,106,65,"rainy",2,0
"111",70,"23-07-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,20,59,28,"rainy",2,0
"112",70,"27-07-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,104,74,"rainy",2,0
"113",70,"30-07-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,25,84,49,"rainy",2,0
"114",70,"03-08-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,22,73,34,"rainy",3,0
"115",70,"06-08-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,23,72,39,"rainy",3,0
"116",70,"10-08-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,23,69,45,"rainy",3,0
"117",70,"13-08-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,24,62,38,"rainy",3,0
"118",70,"17-08-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,27,72,48,"rainy",3,0
"119",70,"20-08-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,28,115,82,"rainy",3,0
"120",70,"24-08-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,111,77,"rainy",3,0
"121",70,"27-08-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,20,53,28,"rainy",3,0
"122",70,"31-08-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,25,82,51,"rainy",3,0
"123",70,"03-09-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,118,78,"rainy",3,0
"124",70,"07-09-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,24,97,57,"rainy",3,0
"125",70,"10-09-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,26,119,74,"rainy",3,0
"126",70,"14-09-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,22,64,37,"rainy",3,0
"127",70,"17-09-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,22,80,46,"rainy",3,0
"128",70,"21-09-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,25,92,55,"rainy",3,0
"129",70,"24-09-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,24,95,52,"rainy",3,0
"130",70,"28-09-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,23,102,58,"rainy",3,0
"131",70,"01-10-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,23,90,51,"winter",3,0
"132",70,"05-10-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,24,112,69,"winter",3,0
"133",70,"08-10-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,22,83,50,"winter",3,0
"134",70,"12-10-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,25,99,62,"winter",3,0
"135",70,"15-10-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,85,41,"winter",3,0
"136",70,"19-10-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,22,95,54,"winter",3,0
"137",70,"22-10-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,22,102,51,"winter",3,0
"138",70,"26-10-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,27,131,66,"winter",3,0
"139",70,"29-10-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,90,48,"winter",3,0
"140",70,"02-11-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,22,76,34,"winter",3,0
"141",70,"05-11-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,93,58,"winter",3,0
"142",70,"09-11-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,23,104,61,"winter",3,0
"143",70,"12-11-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,112,55,"winter",3,0
"144",70,"16-11-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,24,110,64,"winter",3,0
"145",70,"19-11-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,123,71,"winter",3,0
"146",70,"23-11-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,27,115,56,"winter",3,0
"147",70,"26-11-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,28,98,42,"winter",3,0
"148",70,"30-11-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,25,119,47,"winter",3,0
"149",70,"03-12-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,24,100,51,"winter",4,0
"150",70,"07-12-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,23,84,42,"winter",4,0
"151",70,"10-12-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,27,112,79,"winter",4,0
"152",70,"14-12-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,27,110,62,"winter",4,0
"153",70,"17-12-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,23,102,54,"winter",4,0
"154",70,"21-12-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,26,113,59,"winter",4,0
"155",70,"24-12-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,27,86,41,"winter",4,0
"156",70,"28-12-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,108,56,"winter",4,0
"157",70,"31-12-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,29,133,63,"winter",4,0
"158",227,"01-01-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",5,10,71,75,"winter",1,1
"159",227,"05-01-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,9,75,67,"winter",1,1
"160",227,"08-01-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,10,72,74,"winter",1,1
"161",227,"12-01-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",5,11,70,80,"winter",1,1
"162",227,"15-01-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,10,81,68,"winter",1,1
"163",227,"19-01-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,70,53,"winter",1,1
"164",227,"22-01-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,73,59,"winter",1,1
"165",227,"27-01-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,74,78,"winter",1,1
"166",227,"29-01-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,75,75,"winter",1,1
"167",227,"02-02-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,66,71,"winter",1,1
"168",227,"05-02-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,63,69,"winter",1,1
"169",227,"09-02-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,20,72,65,"winter",1,1
"170",227,"12-02-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,75,78,"winter",1,1
"171",227,"16-02-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,10,77,82,"winter",1,1
"172",227,"19-02-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",5,11,79,68,"winter",1,1
"173",227,"23-02-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,10,75,70,"winter",1,1
"174",227,"26-02-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,80,75,"winter",1,1
"175",227,"02-03-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",5,11,64,55,"summer",1,1
"176",227,"06-03-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",5,10,65,63,"summer",1,1
"177",227,"09-03-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,10,66,68,"summer",1,1
"178",227,"12-03-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,72,70,"summer",1,1
"179",227,"16-03-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,66,65,"summer",1,1
"180",227,"19-03-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,63,69,"summer",1,1
"181",227,"23-03-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,74,72,"summer",1,1
"182",227,"26-03-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,77,78,"summer",1,1
"183",227,"30-03-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,80,80,"summer",1,1
"184",227,"02-04-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",5,10,68,65,"summer",2,1
"185",227,"06-04-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",5,10,78,69,"summer",2,1
