"","X.1","X","Stn.Code","Sampling.Date","State","City.Town.Village.Area","Location.of.Monitoring.Station","Agency","Type.of.Location","SO2","NO2","RSPM.PM10","PM.2.5","season","quarter","Type.of.Location.Binary.form"
"1",1,1,68,"2015-01-02","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,24,143,102,"winter",1,0
"2",2,2,68,"2015-01-06","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,23,133,96,"winter",1,0
"3",3,3,68,"2015-01-09","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,25,125,116,"winter",1,0
"4",4,4,68,"2015-01-13","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,137,107,"winter",1,0
"5",5,5,68,"2015-01-16","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,26,186,118,"winter",1,0
"6",6,6,68,"2015-01-20","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,23,178,153,"winter",1,0
"7",7,7,68,"2015-01-23","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,171,146,"winter",1,0
"8",8,8,68,"2015-01-27","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,161,137,"winter",1,0
"9",9,9,68,"2015-01-30","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,24,158,127,"winter",1,0
"10",10,10,68,"2015-02-03","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,24,207,152,"winter",1,0
"11",11,11,68,"2015-02-06","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,208,125,"winter",1,0
"12",12,12,68,"2015-02-10","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,25,192,96,"winter",1,0
"13",13,13,68,"2015-02-13","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,186,110,"winter",1,0
"14",14,14,68,"2015-02-16","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,180,118,"winter",1,0
"15",15,15,68,"2015-02-18","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,24,186,99,"winter",1,0
"16",16,16,68,"2015-02-25","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,26,171,119,"winter",1,0
"17",17,17,68,"2015-02-28","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",13,25,169,108,"winter",1,0
"18",18,18,68,"2015-09-01","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,24,68,47,"rainy",3,0
"19",19,19,68,"2015-09-04","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,79,52,"rainy",3,0
"20",20,20,68,"2015-09-08","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,24,76,57,"rainy",3,0
"21",21,21,68,"2015-09-11","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,22,76,49,"rainy",3,0
"22",22,22,68,"2015-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,22,36,17,"rainy",3,0
"23",23,23,68,"2015-09-18","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,83,61,"rainy",3,0
"24",24,24,68,"2015-09-22","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,76,43,"rainy",3,0
"25",25,25,68,"2015-09-25","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,94,69,"rainy",3,0
"26",26,26,68,"2015-09-30","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,25,89,63,"rainy",3,0
"27",27,27,68,"2015-10-01","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,70,57,"winter",3,0
"28",28,28,68,"2015-10-06","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,24,90,78,"winter",3,0
"29",29,29,68,"2015-10-09","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,112,92,"winter",3,0
"30",30,30,68,"2015-10-13","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,95,73,"winter",3,0
"31",31,31,68,"2015-10-16","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,27,103,87,"winter",3,0
"32",32,32,68,"2015-10-20","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,25,95,69,"winter",3,0
"33",33,33,68,"2015-10-23","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,90,65,"winter",3,0
"34",34,34,68,"2015-10-27","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,22,99,74,"winter",3,0
"35",35,35,68,"2015-10-30","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,106,86,"winter",3,0
"36",36,36,68,"2015-11-03","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,101,68,"winter",3,0
"37",37,37,68,"2015-11-06","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,99,56,"winter",3,0
"38",38,38,68,"2015-11-10","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,151,81,"winter",3,0
"39",39,39,68,"2015-11-13","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,153,79,"winter",3,0
"40",40,40,68,"2015-11-17","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,97,49,"winter",3,0
"41",41,41,68,"2015-11-20","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,136,72,"winter",3,0
"42",42,42,68,"2015-11-24","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,132,70,"winter",3,0
"43",43,43,68,"2015-11-27","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,26,145,76,"winter",3,0
"44",44,44,68,"2015-12-01","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,25,106,61,"winter",4,0
"45",45,45,68,"2015-12-04","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,151,87,"winter",4,0
"46",46,46,68,"2015-12-08","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,27,137,79,"winter",4,0
"47",47,47,68,"2015-12-11","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,25,167,83,"winter",4,0
"48",48,48,68,"2015-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,198,98,"winter",4,0
"49",49,49,68,"2015-12-18","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,23,177,92,"winter",4,0
"50",50,50,68,"2015-12-22","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,202,104,"winter",4,0
"51",51,51,68,"2015-12-25","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,25,171,95,"winter",4,0
"52",52,52,68,"2015-12-29","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,27,171,88,"winter",4,0
"53",53,53,70,"2015-01-01","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",7,20,52,36,"winter",1,0
"54",54,54,70,"2015-01-05","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,23,124,57,"winter",1,0
"55",55,55,70,"2015-01-08","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,27,150,104,"winter",1,0
"56",56,56,70,"2015-01-12","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",15,30,187,121,"winter",1,0
"57",57,57,70,"2015-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",18,23,176,137,"winter",1,0
"58",58,58,70,"2015-01-19","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,30,132,98,"winter",1,0
"59",59,59,70,"2015-01-22","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,26,155,86,"winter",1,0
"60",60,60,70,"2015-01-27","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,162,116,"winter",1,0
"61",61,61,70,"2015-01-29","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,22,104,90,"winter",1,0
"62",62,62,70,"2015-02-02","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,25,132,86,"winter",1,0
"63",63,63,70,"2015-02-05","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,28,148,113,"winter",1,0
"64",64,64,70,"2015-02-09","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,22,103,74,"winter",1,0
"65",65,65,70,"2015-02-12","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,106,85,"winter",1,0
"66",66,66,70,"2015-02-16","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,27,89,64,"winter",1,0
"67",67,67,70,"2015-02-19","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,107,72,"winter",1,0
"68",68,68,70,"2015-02-23","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,101,77,"winter",1,0
"69",69,69,70,"2015-02-26","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,27,87,70,"winter",1,0
"70",70,70,70,"2015-03-02","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,124,65,"summer",1,0
"71",71,71,70,"2015-03-05","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,22,92,68,"summer",1,0
"72",72,72,70,"2015-03-09","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,26,93,62,"summer",1,0
"73",73,73,70,"2015-03-12","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,28,126,78,"summer",1,0
"74",74,74,70,"2015-03-16","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,30,101,68,"summer",1,0
"75",75,75,70,"2015-03-19","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,150,87,"summer",1,0
"76",76,76,70,"2015-03-23","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,24,127,96,"summer",1,0
"77",77,77,70,"2015-03-26","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,27,127,81,"summer",1,0
"78",78,78,70,"2015-03-30","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,23,135,63,"summer",1,0
"79",79,79,70,"2015-04-02","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,28,155,80,"summer",2,0
"80",80,80,70,"2015-04-06","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,76,54,"summer",2,0
"81",81,81,70,"2015-04-09","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,28,71,45,"summer",2,0
"82",82,82,70,"2015-04-13","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,23,97,56,"summer",2,0
"83",83,83,70,"2015-04-16","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,24,91,53,"summer",2,0
"84",84,84,70,"2015-04-20","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,89,46,"summer",2,0
"85",85,85,70,"2015-04-23","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,21,91,43,"summer",2,0
"86",86,86,70,"2015-04-27","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,28,77,40,"summer",2,0
"87",87,87,70,"2015-04-30","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,26,91,48,"summer",2,0
"88",88,88,70,"2015-05-04","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,23,95,49,"summer",2,0
"89",89,89,70,"2015-05-07","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,25,81,36,"summer",2,0
"90",90,90,70,"2015-05-11","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,28,102,54,"summer",2,0
"91",91,91,70,"2015-05-14","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,98,51,"summer",2,0
"92",92,92,70,"2015-05-18","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,97,42,"summer",2,0
"93",93,93,70,"2015-05-21","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,28,91,51,"summer",2,0
"94",94,94,70,"2015-05-25","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,27,107,67,"summer",2,0
"95",95,95,70,"2015-05-28","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,23,98,55,"summer",2,0
"96",96,96,70,"2015-06-01","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,27,104,63,"summer",2,0
"97",97,97,70,"2015-06-04","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,26,95,44,"summer",2,0
"98",98,98,70,"2015-06-08","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,101,62,"summer",2,0
"99",99,99,70,"2015-06-11","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,25,99,58,"summer",2,0
"100",100,100,70,"2015-06-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,21,61,36,"summer",2,0
"101",101,101,70,"2015-06-18","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,19,55,31,"summer",2,0
"102",102,102,70,"2015-06-22","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,22,60,34,"summer",2,0
"103",103,103,70,"2015-06-25","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,90,46,"summer",2,0
"104",104,104,70,"2015-06-29","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,27,97,56,"summer",2,0
"105",105,105,70,"2015-07-02","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,102,51,"rainy",2,0
"106",106,106,70,"2015-07-06","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,110,66,"rainy",2,0
"107",107,107,70,"2015-07-09","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,20,55,33,"rainy",2,0
"108",108,108,70,"2015-07-13","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,90,60,"rainy",2,0
"109",109,109,70,"2015-07-16","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,21,87,57,"rainy",2,0
"110",110,110,70,"2015-07-20","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,106,65,"rainy",2,0
"111",111,111,70,"2015-07-23","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,20,59,28,"rainy",2,0
"112",112,112,70,"2015-07-27","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,104,74,"rainy",2,0
"113",113,113,70,"2015-07-30","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,25,84,49,"rainy",2,0
"114",114,114,70,"2015-08-03","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,22,73,34,"rainy",3,0
"115",115,115,70,"2015-08-06","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,23,72,39,"rainy",3,0
"116",116,116,70,"2015-08-10","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,23,69,45,"rainy",3,0
"117",117,117,70,"2015-08-13","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,24,62,38,"rainy",3,0
"118",118,118,70,"2015-08-17","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,27,72,48,"rainy",3,0
"119",119,119,70,"2015-08-20","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,28,115,82,"rainy",3,0
"120",120,120,70,"2015-08-24","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,111,77,"rainy",3,0
"121",121,121,70,"2015-08-27","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,20,53,28,"rainy",3,0
"122",122,122,70,"2015-08-31","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,25,82,51,"rainy",3,0
"123",123,123,70,"2015-09-03","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,118,78,"rainy",3,0
"124",124,124,70,"2015-09-07","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,24,97,57,"rainy",3,0
"125",125,125,70,"2015-09-10","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,26,119,74,"rainy",3,0
"126",126,126,70,"2015-09-14","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,22,64,37,"rainy",3,0
"127",127,127,70,"2015-09-17","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,22,80,46,"rainy",3,0
"128",128,128,70,"2015-09-21","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,25,92,55,"rainy",3,0
"129",129,129,70,"2015-09-24","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,24,95,52,"rainy",3,0
"130",130,130,70,"2015-09-28","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,23,102,58,"rainy",3,0
"131",131,131,70,"2015-10-01","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,23,90,51,"winter",3,0
"132",132,132,70,"2015-10-05","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,24,112,69,"winter",3,0
"133",133,133,70,"2015-10-08","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,22,83,50,"winter",3,0
"134",134,134,70,"2015-10-12","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,25,99,62,"winter",3,0
"135",135,135,70,"2015-10-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,85,41,"winter",3,0
"136",136,136,70,"2015-10-19","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,22,95,54,"winter",3,0
"137",137,137,70,"2015-10-22","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,22,102,51,"winter",3,0
"138",138,138,70,"2015-10-26","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,27,131,66,"winter",3,0
"139",139,139,70,"2015-10-29","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,90,48,"winter",3,0
"140",140,140,70,"2015-11-02","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,22,76,34,"winter",3,0
"141",141,141,70,"2015-11-05","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,93,58,"winter",3,0
"142",142,142,70,"2015-11-09","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,23,104,61,"winter",3,0
"143",143,143,70,"2015-11-12","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,112,55,"winter",3,0
"144",144,144,70,"2015-11-16","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,24,110,64,"winter",3,0
"145",145,145,70,"2015-11-19","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,123,71,"winter",3,0
"146",146,146,70,"2015-11-23","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,27,115,56,"winter",3,0
"147",147,147,70,"2015-11-26","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,28,98,42,"winter",3,0
"148",148,148,70,"2015-11-30","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,25,119,47,"winter",3,0
"149",149,149,70,"2015-12-03","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,24,100,51,"winter",4,0
"150",150,150,70,"2015-12-07","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,23,84,42,"winter",4,0
"151",151,151,70,"2015-12-10","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,27,112,79,"winter",4,0
"152",152,152,70,"2015-12-14","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,27,110,62,"winter",4,0
"153",153,153,70,"2015-12-17","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,23,102,54,"winter",4,0
"154",154,154,70,"2015-12-21","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,26,113,59,"winter",4,0
"155",155,155,70,"2015-12-24","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,27,86,41,"winter",4,0
"156",156,156,70,"2015-12-28","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,108,56,"winter",4,0
"157",157,157,70,"2015-12-31","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,29,133,63,"winter",4,0
"158",158,158,227,"2015-01-01","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",5,10,71,75,"winter",1,1
"159",159,159,227,"2015-01-05","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,9,75,67,"winter",1,1
"160",160,160,227,"2015-01-08","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,10,72,74,"winter",1,1
"161",161,161,227,"2015-01-12","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",5,11,70,80,"winter",1,1
"162",162,162,227,"2015-01-15","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,10,81,68,"winter",1,1
"163",163,163,227,"2015-01-19","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,70,53,"winter",1,1
"164",164,164,227,"2015-01-22","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,73,59,"winter",1,1
"165",165,165,227,"2015-01-27","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,74,78,"winter",1,1
"166",166,166,227,"2015-01-29","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,75,75,"winter",1,1
"167",167,167,227,"2015-02-02","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,66,71,"winter",1,1
"168",168,168,227,"2015-02-05","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,63,69,"winter",1,1
"169",169,169,227,"2015-02-09","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,20,72,65,"winter",1,1
"170",170,170,227,"2015-02-12","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,75,78,"winter",1,1
"171",171,171,227,"2015-02-16","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,10,77,82,"winter",1,1
"172",172,172,227,"2015-02-19","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",5,11,79,68,"winter",1,1
"173",173,173,227,"2015-02-23","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,10,75,70,"winter",1,1
"174",174,174,227,"2015-02-26","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,11,80,75,"winter",1,1
"175",175,175,227,"2015-03-02","Odisha","Rourkela","IDL Police Out-post, Sonaparbat, Rourkela","Odisha State Pollution Control Board","Residential, Rural and other Areas",5,11,64,55,"summer",1,1
